Tavola 1 - ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"TIPI DI EDIZIONE
GENERI DI OPERA
CLASSI DI PREZZO
TIPI DI EDITORE",2017,,,,2018,,,,Composizione percentuale 2018,,,Variazione percentuale annua (b),
,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,Tiratura totale,Tiratura media per opera,,Opere pubblicate,"Tiratura 
totale",,Opere pubblicate,"Tiratura 
totale"
,,,,,,,,,,,,,
TIPI DI EDIZIONE (c),,,,,,,,,,,,,
Prime edizioni,"42,803","96,687","2,259",,"46,718","99,746","2,135",,61.7,59.4,,1.1,-3.7
Edizioni successive,"3,736","11,350","3,038",,"4,250","10,103","2,377",,5.6,6.0,,11.1,-12.0
Ristampe,"23,620","53,051","2,245",,"24,790","58,112","2,344",,32.7,34.6,,-0.2,0.6
Totale,"70,159","161,088","2,296",,"75,758","167,961","2,217",,100.0,100.0,,1.1,-2.9
,,,,,,,,,,,,,
GENERI  DI  OPERA,,,,,,,,,,,,,
Opere scolastiche (d),"8,310","46,226","5,563",,"9,786","58,339","5,961",,12.9,34.7,,2.8,11.8
Opere per ragazzi,"6,141","22,641","3,687",,"6,440","22,675","3,521",,8.5,13.5,,2.3,-1.6
Opere di varia adulti,"55,708","92,221","1,655",,"59,532","86,947","1,461",,78.6,51.8,,0.7,-10.6
Totale,"70,159","161,088","2,296",,"75,758","167,961","2,217",0,100.0,100.0,,1.1,-2.9
,,,,,,,,,,,,,
CLASSI  DI  PREZZO,,,,,,,,,,,,,
"Fino a 10,00 euro ","15,305","55,356","3,617",,"15,356","53,941","3,513",,20.3,32.1,,-5.4,-8.8
"Da 10,01 a 15,00 ","19,250","31,674","1,645",,"21,000","35,727","1,701",,27.7,21.3,,1.7,5.6
"Da 15,01 a 20,00 ","15,099","34,530","2,287",,"15,994","34,144","2,135",,21.1,20.3,,0.1,-6.4
"Da 20,01 a 30,00","11,251","14,091","1,252",,"12,622","18,482","1,464",,16.7,11.0,,4.0,11.7
"Da 30,01 a 50,00","5,595","7,393","1,321",,"6,401","8,420","1,315",,8.4,5.0,,7.5,1.1
"Oltre 50,00","2,241","11,359","5,069",,"2,010","5,132","2,553",,2.7,3.1,,1.7,5.0
Opere gratuite o fuori commercio,"1,418","6,686","4,715",,"2,375","12,115","5,101",,3.1,7.2,,22.3,-23.8
Non indicato,-,-,-,,,,,,-,-,,,
Totale,"70,159","161,088","2,296",,"75,758","167,961","2,217",,100.0,100.0,0.0,1.1,-2.9
  ,,,,,,,,,,,,,
TIPI DI EDITORE (e),,,,,,,,,,,,,
Piccoli editori,"3,295","4,742","1,439",,"3,426","4,459","1,302",,4.5,2.7,,-3.3,-17.4
Medi editori,"10,614","11,272","1,062",,"12,151","12,541","1,032",,16.0,7.5,,1.7,-6.9
Grandi editori,"56,250","145,074","2,579",,"60,181","150,960","2,508",,79.4,89.9,,1.2,-2.2
Totale,"70,159","161,088","2,296",,"75,758","167,961","2,217",,100.0,100.0,,1.1,-2.9
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
"(a) Per l'anno di riferimento 2018, ha risposto all'indagine il 90,7% per cento degli editori registrati in archivio. Il totale può differire dalla somma dei valori in colonna per arrotondamenti dei valori ",,,,,,,,,,,,,
"(b) Per consentire un confronto coerente con l'anno precedente e tenere sotto controllo la variazione nel numero di unità rispondenti, le variazioni percentuali sono calcolate assumendo come base di riferimento per la comparazione esclusivamente la produzione degli editori che sono risultati rispondenti sia nel 2017 sia nel 2018.",,,,,,,,,,,,,
"c) Per ""prima edizione"" si intende la prima pubblicazione di un manoscritto in lingua originale o tradotto; per ""edizione successiva"" quella che si differenzia dalle precedenti per modifiche apportate nel testo originale o per variazioni  nella veste tipografica; per ""ristampa"" l'edizione che non comporta alcuna modifica rispetto all'edizione precedente.",,,,,,,,,,,,,
"(d) Esclusi  i testi  universitari  ed  i  parascolastici, compresi  nelle opere  di varia adulti.",,,,,,,,,,,,,
"(e) Gli editori sono stati classificati, in base al numero di opere librarie pubblicate nel corso dell'anno, in: ""piccoli editori"" = da 1 a 10 opere; ""medi editori"" = da 11 a 50 opere; ""grandi editori"" = oltre 50 opere. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
