"Tavola 54 - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,,,,,,,,,,,"Tavola 54 segue - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,
                     Anno 2021 (per 100 persone dello stesso sesso e classe di eta'),,,,,,,,,,,,,                                  Anno 2021 (dati in migliaia),,,
,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,CLASSI DI ETÀ,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri
,,,,,,,,,,,,,,,,
,MASCHI,,,,,,,,,,,,MASCHI,,,
,,,,,,,,,,,,,,,,
6-10',40.9,50.8,13.6,,,,,,,,,,6-10',557,283,76
11-24',49.4,54.2,7.7,,,,,,,,,,11-24',553,300,43
15-17                                 ,41,52.4,9.8,,,,,,,,,,15-17                                 ,386,202,38
18-19                                 ,41.8,48.6,13.5,,,,,,,,,,18-19                                 ,244,119,33
20-24                                 ,44.6,47.3,11.8,,,,,,,,,,20-24                                 ,695,329,82
25-34                                 ,40.3,45.9,10.6,,,,,,,,,,25-34                                 ,"1,305",599,139
35-44                                 ,34.4,54.9,13.1,,,,,,,,,,35-44                                 ,"1,294",711,169
45-54                                 ,35.8,50.4,14.5,,,,,,,,,,45-54                                 ,"1,692",853,246
55-59                                 ,31.4,43.9,14,,,,,,,,,,55-59                                 ,714,313,100
60-64                                 ,36.5,44.1,19.4,,,,,,,,,,60-64                                 ,711,314,138
65-74                                 ,32.8,37.8,23.7,,,,,,,,,,65-74                                 ,"1,114",421,264
75 e più,22.4,37.2,15.6,,,,,,,,,,75 e più,604,225,94
Totale                                ,35.8,47.3,14.4,,,,,,,,,,Totale                                ,"9,870","4,666","1,421"
,,,,,,,,,,,,,,,,
,FEMMINE,,,,,,,,,,,,FEMMINE,,,
,,,,,,,,,,,,,,,,
6-10',50.5,45.5,11.9,,,,,,,,,,6-10',658,299,78
11-24',60.1,46.2,13.2,,,,,,,,,,11-24',652,301,86
15-17                                 ,61,42.5,15.6,,,,,,,,,,15-17                                 ,554,235,86
18-19                                 ,62.6,45.9,11.4,,,,,,,,,,18-19                                 ,367,168,42
20-24                                 ,60.1,43.3,13.7,,,,,,,,,,20-24                                 ,798,345,109
25-34                                 ,53.1,40.8,14,,,,,,,,,,25-34                                 ,"1,661",677,232
35-44                                 ,47.6,45.9,13.1,,,,,,,,,,35-44                                 ,"1,795",825,235
45-54                                 ,47.8,44.9,14.1,,,,,,,,,,45-54                                 ,"2,313","1,038",326
55-59                                 ,46.7,39.2,16.4,,,,,,,,,,55-59                                 ,"1,113",436,183
60-64                                 ,45.1,36.7,19.4,,,,,,,,,,60-64                                 ,945,347,183
65-74                                 ,39.3,32,24.1,,,,,,,,,,65-74                                 ,"1,498",480,361
75 e più,24.8,40.8,20.5,,,,,,,,,,75 e più,993,405,203
Totale                                ,45.7,41.6,15.9,,,,,,,,,,Totale                                ,"13,346","5,557","2,125"
,,,,,,,,,,,,,,,,
,MASCHI E FEMMINE,,,,,,,,,,,,MASCHI E FEMMINE,,,
,,,,,,,,,,,,,,,,
6-10',45.6,47.9,12.7,,,,,,,,,,6-10',"1,214",582,154
11-24',54.7,49.9,10.7,,,,,,,,,,11-24',"1,205",601,129
15-17                                 ,50.9,46.6,13.2,,,,,,,,,,15-17                                 ,940,438,124
18-19                                 ,52.2,47,12.2,,,,,,,,,,18-19                                 ,611,287,75
20-24                                 ,51.8,45.1,12.8,,,,,,,,,,20-24                                 ,"1,494",674,191
25-34                                 ,46.6,43,12.5,,,,,,,,,,25-34                                 ,"2,966","1,276",371
35-44                                 ,41,49.7,13.1,,,,,,,,,,35-44                                 ,"3,089","1,535",404
45-54                                 ,41.9,47.2,14.3,,,,,,,,,,45-54                                 ,"4,005","1,891",572
55-59                                 ,39.2,41,15.5,,,,,,,,,,55-59                                 ,"1,827",749,283
60-64                                 ,41,39.9,19.4,,,,,,,,,,60-64                                 ,"1,656",660,321
65-74                                 ,36.2,34.5,23.9,,,,,,,,,,65-74                                 ,"2,612",901,625
75 e più,23.9,39.4,18.6,,,,,,,,,,75 e più,"1,597",629,297
Totale                                ,40.8,44,15.3,,,,,,,,,,Totale                                ,"23,216","10,223","3,546"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,,,,
