"Tavola 63 - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,,,,,,,,,,,"Tavola 63 segue - Persone di 6 anni e piu' hanno letto libri negli ultimi 12 mesi per frequenza, sesso e classe di eta' -",,,
                     Anno 2020 (per 100 persone dello stesso sesso e classe di eta'),,,,,,,,,,,,,                                  Anno 2020 (dati in migliaia),,,
,,,,,,,,,,,,,,,,
CLASSI DI ETÀ,"Leggono  libri
(a)(c)","da 1 a 3 libri
(b)","12 e più libri 
(b)",,,,,,,,,,CLASSI DI ETÀ,"Leggono  libri
(c)",da 1 a 3 libri,12 e più libri
,,,,,,,,,,,,,,,,
,MASCHI,,,,,,,,,,,,MASCHI,,,
,,,,,,,,,,,,,,,,
06-10',47.8,48.2,12.4,,,,,,,,,,06-10',671,324,83
11-24',54.6,56.1,8.4,,,,,,,,,,11-24',660,370,56
15-17                                 ,43.7,57.7,4.7,,,,,,,,,,15-17                                 ,407,235,19
18-19                                 ,45.4,49.2,7.7,,,,,,,,,,18-19                                 ,279,137,22
20-24                                 ,41.4,52.1,9.5,,,,,,,,,,20-24                                 ,595,310,57
25-34                                 ,38.8,52.5,11.6,,,,,,,,,,25-34                                 ,"1,264",663,147
35-44                                 ,36.9,52.4,13.8,,,,,,,,,,35-44                                 ,"1,419",743,196
45-54                                 ,34.1,47.1,13.5,,,,,,,,,,45-54                                 ,"1,626",766,219
55-59                                 ,32.9,45.3,13.9,,,,,,,,,,55-59                                 ,733,332,102
60-64                                 ,36.1,45.1,16.7,,,,,,,,,,60-64                                 ,697,314,116
65-74                                 ,31,35.1,23.4,,,,,,,,,,65-74                                 ,"1,015",356,237
75 e più,22.6,47.1,11.5,,,,,,,,,,75 e più,629,296,72
Totale                                ,36.1,48.5,13.3,,,,,,,,,,Totale                                ,"9,994","4,846","1,326"
,,,,,,,,,,,,,,,,
,FEMMINE,,,,,,,,,,,,FEMMINE,,,
,,,,,,,,,,,,,,,,
06-10',51.7,43.4,15.6,,,,,,,,,,06-10',669,291,104
11-24',62.7,39.2,16.9,,,,,,,,,,11-24',731,286,124
15-17                                 ,65.3,37.8,19.6,,,,,,,,,,15-17                                 ,613,232,120
18-19                                 ,69.2,38.3,12.5,,,,,,,,,,18-19                                 ,396,152,50
20-24                                 ,63.1,39,15.4,,,,,,,,,,20-24                                 ,797,311,123
25-34                                 ,53,46.2,12.9,,,,,,,,,,25-34                                 ,"1,671",772,216
35-44                                 ,51,48.2,14.1,,,,,,,,,,35-44                                 ,"1,966",948,277
45-54                                 ,47.4,43.1,16.4,,,,,,,,,,45-54                                 ,"2,314",997,380
55-59                                 ,48,37.3,18.2,,,,,,,,,,55-59                                 ,"1,093",408,199
60-64                                 ,45.8,38.8,16.8,,,,,,,,,,60-64                                 ,980,380,165
65-74                                 ,37.1,36,22,,,,,,,,,,65-74                                 ,"1,364",492,301
75 e più,24.4,41,20.6,,,,,,,,,,75 e più,"1,005",413,207
Totale                                ,46.4,41.8,16.7,,,,,,,,,,Totale                                ,"13,599","5,680","2,265"
,,,,,,,,,,,,,,,,
,MASCHI E FEMMINE,,,,,,,,,,,,MASCHI E FEMMINE,,,
,,,,,,,,,,,,,,,,
06-10',49.7,45.8,14,,,,,,,,,,06-10',"1,340",614,187
11-24',58.6,47.2,12.9,,,,,,,,,,11-24',"1,390",656,179
15-17                                 ,54.5,45.8,13.7,,,,,,,,,,15-17                                 ,"1,019",466,139
18-19                                 ,56.9,42.8,10.5,,,,,,,,,,18-19                                 ,675,289,71
20-24                                 ,51.5,44.6,12.9,,,,,,,,,,20-24                                 ,"1,392",621,179
25-34                                 ,45.8,48.9,12.4,,,,,,,,,,25-34                                 ,"2,935","1,435",363
35-44                                 ,43.9,50,14,,,,,,,,,,35-44                                 ,"3,385","1,691",473
45-54                                 ,40.8,44.7,15.2,,,,,,,,,,45-54                                 ,"3,940","1,763",599
55-59                                 ,40.6,40.5,16.5,,,,,,,,,,55-59                                 ,"1,826",740,301
60-64                                 ,41.2,41.4,16.8,,,,,,,,,,60-64                                 ,"1,677",694,281
65-74                                 ,34.2,35.6,22.6,,,,,,,,,,65-74                                 ,"2,379",848,538
75 e più,23.7,43.4,17.1,,,,,,,,,,75 e più,"1,635",709,279
Totale                                ,41.4,44.6,15.2,,,,,,,,,,Totale                                ,"23,593","10,527","3,591"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
(a) Per 100 persone di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,
(b) Per 100 lettori di 6 anni e più dello stesso sesso e classe di età.,,,,,,,,,,,,,,,,
(c) Almeno un libro negli ultimi 12 mesi.,,,,,,,,,,,,,,,,
"Fonte: Istat, Indagine annuale ""Aspetti della vita quotidiana"".",,,,,,,,,,,,,,,,
