"Tavola 57 - Persone di 6 anni e più che hanno letto almeno un libro per motivi non strettamente scolastici o professionali,  nei 12 mesi precedenti l'intervista, ",,,,,,
"                     per regione, ripartizione geografica e tipo di comune- Anno 2017",,,,,,
                     (per 100 persone di 6 anni e più della stessa zona),,,,,,
,,,,,,
"REGIONI, RIPARTIZIONI GEOGRAFICHE E TIPO DI COMUNE",Leggono libri               (a),da 1 a  3 libri                      (b),12 e  più libri                (b),,,
Piemonte,46.2,43.5,17.9,,,
Valle d'Aosta/Vallée d'Aoste,48.0,38.1,13.2,,,
Liguria,49.1,40.1,14.6,,,
Lombardia,48.6,43.9,16.4,,,
Trentino-Alto Adige,53.1,39.9,18.4,,,
Bolzano/Bozen,52.0,37.6,17.6,,,
Trento,54.2,41.9,19.1,,,
Veneto,48.4,44.6,17.0,,,
Friuli-Venezia Giulia,50.6,37.1,15.3,,,
Emilia-Romagna,48.3,45.8,13.4,,,
Toscana,46.4,46.0,12.9,,,
Umbria,41.1,52.0,10.2,,,
Marche,41.8,48.6,9.2,,,
Lazio,44.5,47.5,12.5,,,
Abruzzo,35.2,54.5,8.5,,,
Molise,33.3,55.5,8.5,,,
Campania,27.5,63.5,6.5,,,
Puglia,27.6,57.2,9.7,,,
Basilicata,30.8,59.6,7.5,,,
Calabria,26.1,57.7,8.1,,,
Sicilia,25.8,56.1,7.0,,,
Sardegna,44.5,42.4,13.2,,,
,,,,,,
Nord-Ovest,48.0,43.4,16.6,,,
Nord-Est,49.0,43.8,15.6,,,
Centro,44.5,47.4,12.1,,,
Sud,28.3,59.5,7.9,,,
Isole,30.4,51.1,9.3,,,
,,,,,,
Comune centro dell'area metropolitana,49.1,44.0,14.9,,,
Periferia dell'area metropolitana,42.4,48.3,12.5,,,
Fino a 2.000 abitanti,37.0,47.6,14.4,,,
Da 2.001 a 10.000 abitanti,38.3,49.8,12.9,,,
Da 10.001 a 50.000 abitanti,37.8,48.9,12.6,,,
50.001 abitanti e piu',42.7,46.2,13.9,,,
Italia,41.0,47.6,13.4,,,
,,,,,,
,,,,,,
(a) Almeno un libro negli ultimi 12 mesi.,,,,,,
(b) Per 100 lettori di 6 anni e più dello stessa zona.,,,,,,
"Fonte: Istat,  indagine ""Aspetti della Vita Quotidiana"", Anno 2017",,,,,,
